round,iso.alpha.3,snu
2022,ETH,Addis Abeba
2022,ETH,Affar
2022,ETH,Amhara
2022,ETH,Benis Gumz
2022,ETH,Dire Dawa
2022,ETH,Gambela
2022,ETH,Harari
2022,ETH,Oromiya
2022,ETH,Sidama
2022,ETH,SNNP
2022,ETH,Somali
2022,ETH,Tigray
2022,GAB,
2022,GMB,
2022,GHA,
2022,GNB,
2022,GIN,
2022,HTI,
2022,KEN,Central
2022,KEN,Coast
2022,KEN,Eastern
2022,KEN,Nairobi
2022,KEN,North Eastern
2022,KEN,Nyanza
2022,KEN,Rift Valley
2022,KEN,Western
2022,LSO,
2022,LBR,
2022,MWI,
2022,MLI,
2022,NAM,
2022,NGA,Abia
2022,NGA,Adamawa
2022,NGA,Akwa-Ibom
2022,NGA,Anambra
2022,NGA,Bauchi
2022,NGA,Bayelsa
2022,NGA,Benue
2022,NGA,Borno
2022,NGA,CrossRiver
2022,NGA,Delta
2022,NGA,Ebonyi
2022,NGA,Edo
2022,NGA,Ekiti
2022,NGA,Enugu
2022,NGA,FCT
2022,NGA,Gombe
2022,NGA,Imo
2022,NGA,Jigawa
2022,NGA,Kaduna
2022,NGA,Kano
2022,NGA,Katsina
2022,NGA,Kebbi
2022,NGA,Kogi
2022,NGA,Kwara
2022,NGA,Lagos
2022,NGA,Nasarawa
2022,NGA,Niger
2022,NGA,Ogun
2022,NGA,Ondo
